unigram	count	topics_list_with_scores
controversy	21	[(0.2857142857142857, 197), (0.23809523809523808, 109), (0.19047619047619047, 136), (0.09523809523809523, 121), (0.09523809523809523, 95), (0.09523809523809523, 51)]
golden	10	[(1.0, 0)]
projection	9	[(0.6666666666666666, 61), (0.2222222222222222, 6), (0.1111111111111111, 29)]
stern	34	[(0.35294117647058826, 161), (0.2647058823529412, 167), (0.23529411764705882, 3), (0.11764705882352941, 156), (0.029411764705882353, 179)]
lme	5	[(0.8, 155), (0.2, 169)]
music	33	[(0.2727272727272727, 8), (0.18181818181818182, 162), (0.18181818181818182, 14), (0.12121212121212122, 45), (0.09090909090909091, 26), (0.06060606060606061, 164), (0.06060606060606061, 55), (0.030303030303030304, 105)]
skewness	14	[(0.5714285714285714, 195), (0.42857142857142855, 113)]
yahoo	150	[(0.5533333333333333, 18), (0.17333333333333334, 177), (0.12, 163), (0.08666666666666667, 130), (0.04666666666666667, 186), (0.006666666666666667, 189), (0.006666666666666667, 185), (0.006666666666666667, 10)]
meteorologist	17	[(0.6470588235294118, 79), (0.23529411764705882, 88), (0.11764705882352941, 122)]
cadoni	18	[(1.0, 132)]
engg	6	[(1.0, 139)]
circumstances	42	[(0.2619047619047619, 170), (0.14285714285714285, 179), (0.14285714285714285, 92), (0.11904761904761904, 27), (0.09523809523809523, 70), (0.09523809523809523, 5), (0.07142857142857142, 168), (0.047619047619047616, 58), (0.023809523809523808, 133)]
intake	5	[(0.8, 97), (0.2, 38)]
locked	27	[(0.25925925925925924, 171), (0.2222222222222222, 55), (0.14814814814814814, 136), (0.14814814814814814, 50), (0.14814814814814814, 12), (0.07407407407407407, 28)]
india's	25	[(1.0, 136)]
ghosh/enron@enronxgate	8	[(1.0, 83)]
wang	55	[(0.6, 147), (0.36363636363636365, 41), (0.03636363636363636, 125)]
hyatt	91	[(0.34065934065934067, 38), (0.32967032967032966, 30), (0.12087912087912088, 55), (0.06593406593406594, 148), (0.06593406593406594, 117), (0.054945054945054944, 75), (0.02197802197802198, 83)]
unjust	7	[(0.8571428571428571, 179), (0.14285714285714285, 28)]
absolute	15	[(0.26666666666666666, 149), (0.26666666666666666, 84), (0.13333333333333333, 183), (0.13333333333333333, 115), (0.13333333333333333, 82), (0.06666666666666667, 50)]
ednao@esaibos	6	[(1.0, 122)]
travel	221	[(0.23529411764705882, 130), (0.13574660633484162, 21), (0.13122171945701358, 161), (0.08597285067873303, 100), (0.08597285067873303, 54), (0.07692307692307693, 101), (0.04072398190045249, 52), (0.03619909502262444, 185), (0.03167420814479638, 188), (0.027149321266968326, 167), (0.027149321266968326, 149), (0.027149321266968326, 45), (0.02262443438914027, 20), (0.01809954751131222, 144), (0.013574660633484163, 115), (0.004524886877828055, 133)]
playback	6	[(1.0, 183)]
rly-xd	6	[(1.0, 84)]
wrong	101	[(0.33663366336633666, 170), (0.1188118811881188, 50), (0.10891089108910891, 145), (0.10891089108910891, 52), (0.07920792079207921, 123), (0.07920792079207921, 111), (0.0594059405940594, 91), (0.04950495049504951, 172), (0.0297029702970297, 28), (0.009900990099009901, 191), (0.009900990099009901, 47), (0.009900990099009901, 45)]
dmitri.villevald@owen	8	[(0.875, 196), (0.125, 86)]
menlo	8	[(0.75, 85), (0.25, 100)]
romper	6	[(1.0, 108)]
welcomed	13	[(0.38461538461538464, 43), (0.3076923076923077, 55), (0.23076923076923078, 149), (0.07692307692307693, 5)]
concurrence	18	[(0.8888888888888888, 23), (0.1111111111111111, 69)]
peut	8	[(1.0, 23)]
partnered	5	[(0.8, 135), (0.2, 43)]
grzegorz	10	[(1.0, 93)]
welcomes	6	[(0.3333333333333333, 108), (0.3333333333333333, 16), (0.16666666666666666, 135), (0.16666666666666666, 19)]
fis	25	[(1.0, 136)]
fit	202	[(0.3069306930693069, 18), (0.13861386138613863, 178), (0.09900990099009901, 149), (0.054455445544554455, 24), (0.054455445544554455, 9), (0.04950495049504951, 188), (0.04950495049504951, 67), (0.039603960396039604, 170), (0.034653465346534656, 8), (0.0297029702970297, 196), (0.0297029702970297, 150), (0.0297029702970297, 147), (0.024752475247524754, 97), (0.019801980198019802, 192), (0.019801980198019802, 168), (0.01485148514851485, 96), (0.0049504950495049506, 103)]
fix	65	[(0.38461538461538464, 58), (0.13846153846153847, 174), (0.06153846153846154, 126), (0.06153846153846154, 81), (0.06153846153846154, 80), (0.06153846153846154, 42), (0.046153846153846156, 179), (0.046153846153846156, 127), (0.046153846153846156, 8), (0.03076923076923077, 158), (0.03076923076923077, 22), (0.03076923076923077, 1)]
dziekuje	33	[(0.6666666666666666, 93), (0.3333333333333333, 68)]
wales	7	[(0.5714285714285714, 165), (0.2857142857142857, 36), (0.14285714285714285, 54)]
uoh	8	[(0.75, 182), (0.25, 189)]
fin	10	[(0.5, 71), (0.4, 98), (0.1, 33)]
read%/home/content/users/imds/feeds/djn	6	[(1.0, 28)]
effects	37	[(0.16216216216216217, 165), (0.16216216216216217, 158), (0.16216216216216217, 57), (0.16216216216216217, 41), (0.08108108108108109, 196), (0.08108108108108109, 179), (0.05405405405405406, 127), (0.05405405405405406, 120), (0.05405405405405406, 116), (0.02702702702702703, 65)]
kohli@enron_development	36	[(0.6944444444444444, 15), (0.25, 29), (0.05555555555555555, 136)]
ingrid	6	[(1.0, 83)]
windmill	8	[(0.75, 48), (0.25, 28)]
isye	62	[(1.0, 128)]
allan	22	[(0.45454545454545453, 36), (0.18181818181818182, 199), (0.13636363636363635, 114), (0.13636363636363635, 80), (0.09090909090909091, 157)]
jump-diffusion	8	[(1.0, 29)]
strips	16	[(0.625, 8), (0.25, 120), (0.125, 155)]
valencia/corp/enron@enron	16	[(0.625, 64), (0.375, 114)]
mason	12	[(0.5, 155), (0.3333333333333333, 75), (0.16666666666666666, 69)]
toute	31	[(0.8709677419354839, 119), (0.12903225806451613, 23)]
combinatorial	6	[(1.0, 190)]
encourage	76	[(0.21052631578947367, 34), (0.10526315789473684, 18), (0.07894736842105263, 197), (0.07894736842105263, 108), (0.07894736842105263, 86), (0.07894736842105263, 76), (0.07894736842105263, 44), (0.06578947368421052, 43), (0.05263157894736842, 129), (0.039473684210526314, 128), (0.039473684210526314, 37), (0.02631578947368421, 124), (0.02631578947368421, 54), (0.02631578947368421, 26), (0.013157894736842105, 179)]
adapt	6	[(0.3333333333333333, 92), (0.3333333333333333, 46), (0.16666666666666666, 56), (0.16666666666666666, 28)]
ameren	8	[(0.25, 122), (0.25, 74), (0.25, 61), (0.25, 28)]
abbott	6	[(0.6666666666666666, 107), (0.3333333333333333, 108)]
estimate	79	[(0.13924050632911392, 70), (0.13924050632911392, 24), (0.12658227848101267, 66), (0.11392405063291139, 149), (0.10126582278481013, 41), (0.0759493670886076, 155), (0.0759493670886076, 106), (0.06329113924050633, 181), (0.05063291139240506, 172), (0.05063291139240506, 37), (0.0379746835443038, 56), (0.02531645569620253, 129)]
ravi_thuraisingham@enron.net	10	[(0.6, 150), (0.4, 49)]
chevron	6	[(1.0, 41)]
service	909	[(0.132013201320132, 131), (0.09570957095709572, 138), (0.08360836083608361, 194), (0.06820682068206821, 135), (0.0671067106710671, 99), (0.0484048404840484, 34), (0.041804180418041806, 77), (0.03850385038503851, 196), (0.0352035203520352, 161), (0.0352035203520352, 4), (0.033003300330033, 19), (0.030803080308030802, 101), (0.0297029702970297, 151), (0.028602860286028604, 158), (0.020902090209020903, 100), (0.0187018701870187, 169), (0.0176017601760176, 129), (0.015401540154015401, 192), (0.015401540154015401, 188), (0.014301430143014302, 120), (0.0121012101210121, 141), (0.0121012101210121, 125), (0.011001100110011002, 88), (0.009900990099009901, 106), (0.009900990099009901, 50), (0.009900990099009901, 45), (0.0088008800880088, 186), (0.007700770077007701, 181), (0.007700770077007701, 74), (0.006600660066006601, 132), (0.005500550055005501, 178), (0.005500550055005501, 150), (0.005500550055005501, 7), (0.005500550055005501, 3), (0.0033003300330033004, 160), (0.0033003300330033004, 0), (0.0022002200220022, 113), (0.0022002200220022, 37), (0.0011001100110011, 84)]
application/software	7	[(1.0, 85)]
needed	184	[(0.11956521739130435, 8), (0.09239130434782608, 63), (0.08695652173913043, 170), (0.07608695652173914, 112), (0.07065217391304347, 179), (0.06521739130434782, 33), (0.059782608695652176, 140), (0.059782608695652176, 121), (0.04891304347826087, 81), (0.043478260869565216, 171), (0.043478260869565216, 34), (0.03260869565217391, 145), (0.03260869565217391, 12), (0.02717391304347826, 13), (0.021739130434782608, 131), (0.021739130434782608, 100), (0.021739130434782608, 79), (0.021739130434782608, 6), (0.016304347826086956, 129), (0.016304347826086956, 111), (0.016304347826086956, 92), (0.005434782608695652, 32)]
master	32	[(0.34375, 18), (0.1875, 77), (0.125, 123), (0.125, 38), (0.0625, 72), (0.0625, 14), (0.0625, 8), (0.03125, 70)]
rewards	5	[(1.0, 169)]
positively	7	[(1.0, 25)]
derecskey/corp/enron	6	[(1.0, 13)]
odpowiedzi	6	[(1.0, 68)]
regulator	15	[(0.7333333333333333, 106), (0.13333333333333333, 51), (0.13333333333333333, 34)]
idle	6	[(0.5, 118), (0.3333333333333333, 37), (0.16666666666666666, 28)]
feeling	43	[(0.16279069767441862, 112), (0.13953488372093023, 87), (0.13953488372093023, 30), (0.13953488372093023, 27), (0.11627906976744186, 52), (0.06976744186046512, 160), (0.046511627906976744, 64), (0.046511627906976744, 58), (0.046511627906976744, 54), (0.046511627906976744, 51), (0.046511627906976744, 8)]
anguel	47	[(0.723404255319149, 73), (0.14893617021276595, 26), (0.1276595744680851, 160)]
patrycia.dalecka@destia.com	6	[(1.0, 163)]
spectrum	21	[(0.2857142857142857, 67), (0.23809523809523808, 197), (0.19047619047619047, 27), (0.14285714285714285, 101), (0.09523809523809523, 75), (0.047619047619047616, 139)]
dozen	20	[(0.25, 109), (0.2, 52), (0.15, 50), (0.1, 158), (0.1, 72), (0.1, 62), (0.05, 64), (0.05, 28)]
affairs	72	[(0.2916666666666667, 153), (0.18055555555555555, 34), (0.1111111111111111, 13), (0.09722222222222222, 94), (0.06944444444444445, 136), (0.05555555555555555, 102), (0.05555555555555555, 95), (0.041666666666666664, 86), (0.041666666666666664, 68), (0.027777777777777776, 116), (0.027777777777777776, 108)]
beltway	6	[(1.0, 130)]
committing	8	[(0.5, 181), (0.25, 50), (0.25, 28)]
http://garven.baylor.edu/research.html	21	[(1.0, 20)]
metrics	17	[(0.8235294117647058, 96), (0.11764705882352941, 72), (0.058823529411764705, 127)]
simplify	9	[(0.4444444444444444, 135), (0.2222222222222222, 192), (0.2222222222222222, 55), (0.1111111111111111, 65)]
mouth	19	[(0.42105263157894735, 50), (0.21052631578947367, 76), (0.10526315789473684, 116), (0.10526315789473684, 54), (0.10526315789473684, 1), (0.05263157894736842, 154)]
bradford	44	[(0.7045454545454546, 175), (0.1590909090909091, 111), (0.13636363636363635, 155)]
fontaine/corp/enron@enron	7	[(1.0, 0)]
teco	14	[(1.0, 28)]
tech	120	[(0.35833333333333334, 128), (0.2, 53), (0.125, 176), (0.08333333333333333, 165), (0.06666666666666667, 76), (0.06666666666666667, 74), (0.041666666666666664, 131), (0.025, 164), (0.016666666666666666, 132), (0.016666666666666666, 64)]
oh/na/enron@enron	6	[(1.0, 0)]
teresa	59	[(0.423728813559322, 119), (0.288135593220339, 86), (0.1694915254237288, 150), (0.05084745762711865, 105), (0.03389830508474576, 98), (0.03389830508474576, 82)]
matt_harris@enron.net	7	[(1.0, 85)]
eliminated	9	[(0.5555555555555556, 34), (0.3333333333333333, 180), (0.1111111111111111, 159)]
orleans	42	[(0.30952380952380953, 39), (0.2857142857142857, 163), (0.14285714285714285, 3), (0.07142857142857142, 28), (0.047619047619047616, 122), (0.047619047619047616, 98), (0.047619047619047616, 78), (0.047619047619047616, 1)]
flowers	25	[(0.32, 157), (0.28, 55), (0.2, 63), (0.12, 64), (0.08, 98)]
prosilbym	8	[(1.0, 143)]
rick	380	[(0.13157894736842105, 94), (0.12631578947368421, 137), (0.10526315789473684, 180), (0.1, 79), (0.08157894736842106, 148), (0.07368421052631578, 69), (0.07105263157894737, 105), (0.06578947368421052, 22), (0.060526315789473685, 175), (0.05, 173), (0.03684210526315789, 24), (0.02894736842105263, 45), (0.02368421052631579, 10), (0.015789473684210527, 146), (0.015789473684210527, 114), (0.007894736842105263, 107), (0.005263157894736842, 90)]
rich	58	[(0.2413793103448276, 44), (0.1724137931034483, 137), (0.10344827586206896, 68), (0.08620689655172414, 27), (0.06896551724137931, 55), (0.06896551724137931, 11), (0.05172413793103448, 101), (0.034482758620689655, 136), (0.034482758620689655, 133), (0.034482758620689655, 126), (0.034482758620689655, 122), (0.034482758620689655, 6), (0.017241379310344827, 172), (0.017241379310344827, 128)]
rice	662	[(0.256797583081571, 78), (0.11933534743202417, 111), (0.11933534743202417, 71), (0.09818731117824774, 147), (0.08610271903323263, 108), (0.05891238670694864, 65), (0.04682779456193353, 13), (0.04380664652567976, 162), (0.04229607250755287, 30), (0.030211480362537766, 45), (0.021148036253776436, 86), (0.019637462235649546, 46), (0.01661631419939577, 144), (0.015105740181268883, 125), (0.010574018126888218, 130), (0.006042296072507553, 181), (0.006042296072507553, 53), (0.0030211480362537764, 149)]
plate	13	[(0.6923076923076923, 148), (0.15384615384615385, 167), (0.15384615384615385, 107)]
garrett/enron	8	[(0.75, 107), (0.25, 49)]
platt	8	[(0.75, 146), (0.25, 166)]
raymond-castaneda	23	[(1.0, 140)]
nicely	9	[(0.4444444444444444, 71), (0.3333333333333333, 24), (0.2222222222222222, 13)]
akhave/epsc/hou/ect@ect	6	[(0.6666666666666666, 133), (0.3333333333333333, 85)]
patch	245	[(1.0, 58)]
clarified	11	[(0.36363636363636365, 170), (0.36363636363636365, 12), (0.18181818181818182, 66), (0.09090909090909091, 59)]
sensitivity	33	[(0.2727272727272727, 70), (0.24242424242424243, 59), (0.12121212121212122, 174), (0.12121212121212122, 151), (0.12121212121212122, 118), (0.12121212121212122, 80)]
cnalink	7	[(1.0, 67)]
mandis/enron	6	[(1.0, 49)]
lots	53	[(0.2641509433962264, 124), (0.18867924528301888, 165), (0.11320754716981132, 123), (0.09433962264150944, 43), (0.07547169811320754, 27), (0.07547169811320754, 8), (0.05660377358490566, 191), (0.05660377358490566, 113), (0.03773584905660377, 39), (0.018867924528301886, 169), (0.018867924528301886, 119)]
irr	9	[(1.0, 170)]
option/equity	6	[(1.0, 71)]
parrino@mail.utexas.edu	30	[(0.6, 124), (0.4, 71)]
ira	13	[(0.38461538461538464, 157), (0.15384615384615385, 165), (0.15384615384615385, 108), (0.15384615384615385, 91), (0.15384615384615385, 6)]
irb	8	[(1.0, 151)]
discipline	22	[(0.3181818181818182, 51), (0.2727272727272727, 68), (0.18181818181818182, 96), (0.13636363636363635, 89), (0.09090909090909091, 192)]
extend	140	[(0.2, 131), (0.10714285714285714, 151), (0.09285714285714286, 10), (0.08571428571428572, 15), (0.07857142857142857, 161), (0.06428571428571428, 169), (0.05, 94), (0.05, 88), (0.04285714285714286, 176), (0.04285714285714286, 136), (0.04285714285714286, 86), (0.03571428571428571, 57), (0.02857142857142857, 177), (0.02142857142857143, 0), (0.014285714285714285, 186), (0.014285714285714285, 66), (0.014285714285714285, 58), (0.014285714285714285, 14)]
nature	73	[(0.273972602739726, 170), (0.1643835616438356, 153), (0.1643835616438356, 67), (0.1095890410958904, 19), (0.0684931506849315, 1), (0.0547945205479452, 181), (0.0547945205479452, 3), (0.0273972602739726, 173), (0.0273972602739726, 42), (0.0273972602739726, 23), (0.0136986301369863, 94), (0.0136986301369863, 91)]
gobel/fra/ect@ect	6	[(1.0, 35)]
cut	125	[(0.152, 194), (0.136, 16), (0.096, 30), (0.088, 46), (0.08, 109), (0.072, 165), (0.064, 151), (0.064, 76), (0.056, 173), (0.056, 27), (0.048, 22), (0.04, 8), (0.032, 28), (0.008, 64), (0.008, 47)]
extent	91	[(0.16483516483516483, 67), (0.14285714285714285, 87), (0.13186813186813187, 170), (0.10989010989010989, 32), (0.0989010989010989, 41), (0.08791208791208792, 179), (0.08791208791208792, 81), (0.04395604395604396, 109), (0.03296703296703297, 168), (0.03296703296703297, 88), (0.03296703296703297, 42), (0.02197802197802198, 178), (0.01098901098901099, 152)]
gwyn	310	[(0.5193548387096775, 140), (0.3548387096774194, 26), (0.12580645161290321, 73)]
nawi	6	[(1.0, 116)]
heating	45	[(0.5555555555555556, 41), (0.2222222222222222, 174), (0.1111111111111111, 183), (0.1111111111111111, 121)]
thomas@wharton.upenn.edu	48	[(1.0, 134)]
welche	8	[(1.0, 35)]
resending	10	[(0.6, 10), (0.2, 18), (0.1, 141), (0.1, 86)]
rgy	6	[(0.5, 122), (0.3333333333333333, 61), (0.16666666666666666, 16)]
goebel	9	[(0.8888888888888888, 35), (0.1111111111111111, 16)]
brindle	9	[(0.6666666666666666, 142), (0.3333333333333333, 137)]
organisational	12	[(1.0, 180)]
nurit@fireant.ma.utexas.edu	8	[(1.0, 74)]
source	222	[(0.16666666666666666, 129), (0.1036036036036036, 170), (0.0945945945945946, 41), (0.08108108108108109, 72), (0.08108108108108109, 58), (0.05855855855855856, 162), (0.04504504504504504, 175), (0.04504504504504504, 164), (0.04054054054054054, 194), (0.036036036036036036, 158), (0.036036036036036036, 28), (0.03153153153153153, 143), (0.03153153153153153, 13), (0.02702702702702703, 88), (0.02252252252252252, 145), (0.02252252252252252, 81), (0.02252252252252252, 4), (0.018018018018018018, 179), (0.018018018018018018, 109), (0.009009009009009009, 94), (0.009009009009009009, 7)]
union	45	[(0.35555555555555557, 136), (0.13333333333333333, 106), (0.08888888888888889, 141), (0.08888888888888889, 109), (0.06666666666666667, 41), (0.06666666666666667, 27), (0.06666666666666667, 3), (0.044444444444444446, 64), (0.044444444444444446, 51), (0.022222222222222223, 107), (0.022222222222222223, 72)]
fri	338	[(0.621301775147929, 104), (0.08284023668639054, 190), (0.07692307692307693, 94), (0.04437869822485207, 128), (0.03550295857988166, 100), (0.03550295857988166, 39), (0.029585798816568046, 43), (0.014792899408284023, 183), (0.014792899408284023, 113), (0.011834319526627219, 125), (0.008875739644970414, 171), (0.008875739644970414, 49), (0.005917159763313609, 176), (0.005917159763313609, 147), (0.0029585798816568047, 159)]
fro	20	[(0.3, 49), (0.2, 94), (0.15, 79), (0.1, 83), (0.1, 18), (0.05, 199), (0.05, 122), (0.05, 109)]
aol.com@enron	8	[(0.5, 191), (0.5, 89)]
dave	271	[(0.4280442804428044, 71), (0.14760147601476015, 131), (0.0996309963099631, 137), (0.07380073800738007, 97), (0.05166051660516605, 19), (0.04428044280442804, 112), (0.02952029520295203, 144), (0.02952029520295203, 102), (0.02214022140221402, 24), (0.02214022140221402, 22), (0.01845018450184502, 192), (0.01107011070110701, 69), (0.01107011070110701, 60), (0.007380073800738007, 63), (0.0036900369003690036, 10)]
doubts	19	[(0.3157894736842105, 70), (0.2631578947368421, 43), (0.21052631578947367, 166), (0.10526315789473684, 27), (0.10526315789473684, 1)]
business-related	6	[(1.0, 59)]
contingencies	6	[(0.3333333333333333, 171), (0.3333333333333333, 168), (0.3333333333333333, 95)]
professionally	7	[(0.5714285714285714, 172), (0.42857142857142855, 108)]
employ	13	[(0.23076923076923078, 170), (0.23076923076923078, 129), (0.23076923076923078, 18), (0.15384615384615385, 25), (0.15384615384615385, 8)]
mid-may	18	[(0.6666666666666666, 190), (0.3333333333333333, 162)]
conditioned	10	[(0.4, 29), (0.4, 24), (0.2, 185)]
conditioner	10	[(0.6, 50), (0.4, 76)]
hone	5	[(0.8, 78), (0.2, 73)]
memorial	39	[(0.5128205128205128, 4), (0.20512820512820512, 78), (0.15384615384615385, 112), (0.05128205128205128, 148), (0.05128205128205128, 62), (0.02564102564102564, 55)]
split	36	[(0.16666666666666666, 136), (0.16666666666666666, 121), (0.1388888888888889, 28), (0.1111111111111111, 195), (0.1111111111111111, 56), (0.08333333333333333, 53), (0.05555555555555555, 139), (0.05555555555555555, 102), (0.05555555555555555, 64), (0.05555555555555555, 30)]
principals	10	[(0.6, 121), (0.2, 92), (0.2, 28)]
deshazer	5	[(1.0, 43)]
inadvertently	10	[(0.7, 45), (0.2, 90), (0.1, 97)]
qualifications	54	[(0.5, 18), (0.14814814814814814, 164), (0.1111111111111111, 97), (0.09259259259259259, 74), (0.07407407407407407, 80), (0.07407407407407407, 10)]
workforce	17	[(0.29411764705882354, 50), (0.23529411764705882, 166), (0.23529411764705882, 131), (0.11764705882352941, 28), (0.11764705882352941, 16)]
supper	7	[(1.0, 124)]
solis/hou/ect@ect	31	[(0.8709677419354839, 148), (0.12903225806451613, 159)]
academic	148	[(0.24324324324324326, 18), (0.20270270270270271, 176), (0.08783783783783784, 74), (0.06756756756756757, 198), (0.060810810810810814, 41), (0.05405405405405406, 59), (0.0472972972972973, 86), (0.033783783783783786, 139), (0.033783783783783786, 90), (0.02702702702702703, 121), (0.02702702702702703, 39), (0.02702702702702703, 27), (0.02702702702702703, 2), (0.02027027027027027, 115), (0.013513513513513514, 190), (0.013513513513513514, 168), (0.013513513513513514, 108)]
academia	7	[(0.42857142857142855, 176), (0.2857142857142857, 188), (0.2857142857142857, 31)]
kamins	5	[(0.4, 148), (0.4, 115), (0.2, 76)]
corporate	449	[(0.18930957683741648, 192), (0.07126948775055679, 182), (0.06904231625835189, 71), (0.0556792873051225, 44), (0.051224944320712694, 142), (0.042316258351893093, 177), (0.0334075723830735, 4), (0.031180400890868598, 58), (0.028953229398663696, 164), (0.028953229398663696, 61), (0.026726057906458798, 176), (0.024498886414253896, 124), (0.022271714922048998, 167), (0.0200445434298441, 180), (0.0200445434298441, 19), (0.017817371937639197, 198), (0.017817371937639197, 78), (0.017817371937639197, 46), (0.017817371937639197, 32), (0.017817371937639197, 3), (0.015590200445434299, 199), (0.015590200445434299, 163), (0.015590200445434299, 115), (0.015590200445434299, 110), (0.013363028953229399, 128), (0.013363028953229399, 86), (0.011135857461024499, 146), (0.011135857461024499, 138), (0.011135857461024499, 112), (0.011135857461024499, 70), (0.008908685968819599, 181), (0.008908685968819599, 135), (0.008908685968819599, 88), (0.008908685968819599, 76), (0.008908685968819599, 56), (0.0066815144766146995, 89), (0.0066815144766146995, 85), (0.0022271714922048997, 111), (0.0022271714922048997, 21)]
index_su	32	[(1.0, 100)]
appropriately	8	[(0.5, 164), (0.25, 179), (0.25, 8)]
matteus	6	[(1.0, 106)]
advancement	19	[(0.47368421052631576, 177), (0.21052631578947367, 80), (0.21052631578947367, 46), (0.10526315789473684, 72)]
hat	113	[(0.4247787610619469, 72), (0.40707964601769914, 58), (0.1415929203539823, 35), (0.02654867256637168, 136)]
municipal	11	[(0.45454545454545453, 34), (0.36363636363636365, 99), (0.18181818181818182, 185)]
osman	338	[(0.4230769230769231, 14), (0.2692307692307692, 26), (0.15680473372781065, 73), (0.07692307692307693, 9), (0.026627218934911243, 97), (0.023668639053254437, 107), (0.023668639053254437, 69)]
survival	20	[(0.35, 89), (0.3, 176), (0.25, 158), (0.1, 112)]
indicative	13	[(0.46153846153846156, 144), (0.3076923076923077, 41), (0.15384615384615385, 115), (0.07692307692307693, 81)]
thibaut	5	[(0.6, 130), (0.4, 8)]
shadow	8	[(0.25, 135), (0.25, 58), (0.25, 50), (0.25, 8)]
gadd	9	[(0.7777777777777778, 90), (0.2222222222222222, 149)]
alice	13	[(0.3076923076923077, 157), (0.3076923076923077, 80), (0.23076923076923078, 164), (0.15384615384615385, 108)]
time-series	12	[(1.0, 24)]
attorney	31	[(0.7741935483870968, 162), (0.12903225806451613, 34), (0.0967741935483871, 28)]
crowd	10	[(0.2, 88), (0.2, 87), (0.2, 79), (0.2, 56), (0.2, 1)]
postmaster	31	[(1.0, 104)]
