unigram	count	topics_list_with_scores
ingrid	6	[(1.0, 4)]
windmill	8	[(0.75, 0), (0.25, 5)]
isye	62	[(1.0, 3)]
allan	22	[(0.5454545454545454, 0), (0.45454545454545453, 4)]
jump-diffusion	8	[(1.0, 6)]
strips	16	[(0.625, 8), (0.375, 6)]
valencia/corp/enron@enron	16	[(1.0, 4)]
mason	12	[(1.0, 6)]
toute	31	[(1.0, 0)]
combinatorial	6	[(1.0, 3)]
encourage	76	[(0.39473684210526316, 5), (0.32894736842105265, 3), (0.23684210526315788, 8), (0.039473684210526314, 1)]
adapt	6	[(0.6666666666666666, 9), (0.3333333333333333, 2)]
ameren	8	[(1.0, 1)]
abbott	6	[(0.6666666666666666, 3), (0.3333333333333333, 4)]
estimate	79	[(0.759493670886076, 6), (0.24050632911392406, 1)]
ravi_thuraisingham@enron.net	10	[(1.0, 4)]
chevron	6	[(1.0, 5)]
service	909	[(0.6897689768976898, 5), (0.13641364136413642, 1), (0.06930693069306931, 8), (0.0627062706270627, 9), (0.041804180418041806, 7)]
application/software	7	[(1.0, 6)]
needed	184	[(0.2717391304347826, 8), (0.2554347826086957, 5), (0.2391304347826087, 2), (0.16304347826086957, 6), (0.07065217391304347, 7)]
master	32	[(0.71875, 3), (0.28125, 7)]
rewards	5	[(1.0, 1)]
positively	7	[(1.0, 9)]
derecskey/corp/enron	6	[(1.0, 4)]
odpowiedzi	6	[(1.0, 0)]
regulator	15	[(1.0, 1)]
idle	6	[(1.0, 5)]
feeling	43	[(0.7441860465116279, 8), (0.2558139534883721, 6)]
anguel	47	[(1.0, 2)]
patrycia.dalecka@destia.com	6	[(1.0, 7)]
spectrum	21	[(1.0, 1)]
dozen	20	[(0.7, 8), (0.3, 5)]
affairs	72	[(0.6388888888888888, 7), (0.20833333333333334, 8), (0.1527777777777778, 5)]
beltway	6	[(1.0, 8)]
committing	8	[(1.0, 8)]
http://garven.baylor.edu/research.html	21	[(1.0, 3)]
metrics	17	[(0.8235294117647058, 3), (0.17647058823529413, 5)]
simplify	9	[(1.0, 9)]
mouth	19	[(1.0, 8)]
bradford	44	[(1.0, 9)]
fontaine/corp/enron@enron	7	[(1.0, 6)]
teco	14	[(1.0, 5)]
tech	120	[(0.5666666666666667, 3), (0.24166666666666667, 8), (0.19166666666666668, 2)]
oh/na/enron@enron	6	[(1.0, 6)]
teresa	59	[(0.4576271186440678, 7), (0.423728813559322, 0), (0.11864406779661017, 4)]
matt_harris@enron.net	7	[(1.0, 3)]
eliminated	9	[(0.5555555555555556, 6), (0.4444444444444444, 5)]
orleans	42	[(0.7380952380952381, 3), (0.2619047619047619, 1)]
flowers	25	[(0.4, 2), (0.36, 8), (0.24, 4)]
prosilbym	8	[(1.0, 0)]
rick	380	[(0.35789473684210527, 4), (0.32894736842105265, 9), (0.1631578947368421, 6), (0.15, 7)]
rich	58	[(0.46551724137931033, 9), (0.2413793103448276, 1), (0.1896551724137931, 4), (0.10344827586206896, 8)]
rice	662	[(0.6782477341389728, 7), (0.23564954682779457, 3), (0.055891238670694864, 4), (0.030211480362537766, 2)]
plate	13	[(0.9230769230769231, 9), (0.07692307692307693, 7)]
garrett/enron	8	[(1.0, 4)]
platt	8	[(1.0, 4)]
raymond-castaneda	23	[(1.0, 2)]
nicely	9	[(0.6666666666666666, 7), (0.3333333333333333, 6)]
akhave/epsc/hou/ect@ect	6	[(1.0, 4)]
patch	245	[(1.0, 5)]
clarified	11	[(0.5454545454545454, 5), (0.45454545454545453, 6)]
sensitivity	33	[(0.7575757575757576, 6), (0.24242424242424243, 1)]
cnalink	7	[(1.0, 6)]
mandis/enron	6	[(1.0, 4)]
lots	53	[(0.5471698113207547, 8), (0.4528301886792453, 9)]
irr	9	[(1.0, 6)]
option/equity	6	[(1.0, 7)]
parrino@mail.utexas.edu	30	[(1.0, 9)]
ira	13	[(0.5384615384615384, 4), (0.46153846153846156, 8)]
irb	8	[(1.0, 1)]
discipline	22	[(1.0, 1)]
extend	140	[(0.34285714285714286, 5), (0.2357142857142857, 1), (0.22857142857142856, 7), (0.19285714285714287, 2)]
nature	73	[(0.4794520547945205, 1), (0.2465753424657534, 6), (0.2054794520547945, 9), (0.0684931506849315, 0)]
gobel/fra/ect@ect	6	[(1.0, 4)]
cut	125	[(0.6, 8), (0.208, 1), (0.192, 6)]
extent	91	[(0.45054945054945056, 5), (0.4065934065934066, 6), (0.14285714285714285, 2)]
gwyn	310	[(1.0, 2)]
nawi	6	[(1.0, 0)]
heating	45	[(0.7555555555555555, 5), (0.2222222222222222, 2), (0.022222222222222223, 6)]
thomas@wharton.upenn.edu	48	[(1.0, 7)]
welche	8	[(1.0, 4)]
resending	10	[(1.0, 3)]
rgy	6	[(0.8333333333333334, 1), (0.16666666666666666, 0)]
goebel	9	[(1.0, 4)]
brindle	9	[(1.0, 4)]
organisational	12	[(1.0, 1)]
nurit@fireant.ma.utexas.edu	8	[(1.0, 3)]
source	222	[(0.6216216216216216, 5), (0.11261261261261261, 9), (0.0945945945945946, 6), (0.07657657657657657, 1), (0.06306306306306306, 8), (0.03153153153153153, 0)]
union	45	[(0.7333333333333333, 8), (0.26666666666666666, 1)]
fri	338	[(0.6923076923076923, 0), (0.17455621301775148, 3), (0.13313609467455623, 7)]
fro	20	[(0.65, 7), (0.35, 4)]
aol.com@enron	8	[(1.0, 3)]
dave	271	[(0.43911439114391143, 7), (0.25461254612546125, 9), (0.18081180811808117, 5), (0.12546125461254612, 4)]
doubts	19	[(0.8421052631578947, 6), (0.15789473684210525, 8)]
business-related	6	[(1.0, 3)]
contingencies	6	[(1.0, 6)]
professionally	7	[(0.7142857142857143, 9), (0.14285714285714285, 8), (0.14285714285714285, 5)]
employ	13	[(0.8461538461538461, 6), (0.15384615384615385, 3)]
mid-may	18	[(1.0, 3)]
conditioned	10	[(1.0, 6)]
conditioner	10	[(1.0, 8)]
hone	5	[(1.0, 3)]
memorial	39	[(0.6410256410256411, 8), (0.358974358974359, 7)]
split	36	[(0.5555555555555556, 6), (0.3611111111111111, 8), (0.08333333333333333, 3)]
principals	10	[(0.8, 6), (0.2, 5)]
deshazer	5	[(1.0, 4)]
inadvertently	10	[(0.7, 5), (0.3, 9)]
qualifications	54	[(0.6851851851851852, 3), (0.3148148148148148, 1)]
workforce	17	[(0.5882352941176471, 8), (0.23529411764705882, 4), (0.17647058823529413, 5)]
supper	7	[(1.0, 9)]
solis/hou/ect@ect	31	[(1.0, 9)]
academic	148	[(0.6959459459459459, 3), (0.20945945945945946, 1), (0.0945945945945946, 6)]
academia	7	[(1.0, 1)]
kamins	5	[(1.0, 9)]
corporate	449	[(0.39198218262806234, 1), (0.27839643652561247, 7), (0.1358574610244989, 9), (0.13140311804008908, 5), (0.0467706013363029, 8), (0.015590200445434299, 3)]
index_su	32	[(1.0, 0)]
appropriately	8	[(0.5, 8), (0.5, 5)]
matteus	6	[(1.0, 1)]
advancement	19	[(0.6842105263157895, 1), (0.3157894736842105, 2)]
hat	113	[(0.8584070796460177, 5), (0.1415929203539823, 4)]
municipal	11	[(1.0, 5)]
osman	338	[(1.0, 2)]
survival	20	[(0.7, 1), (0.3, 8)]
indicative	13	[(1.0, 9)]
thibaut	5	[(1.0, 8)]
shadow	8	[(0.625, 8), (0.375, 5)]
gadd	9	[(1.0, 3)]
alice	13	[(0.46153846153846156, 7), (0.3076923076923077, 2), (0.23076923076923078, 4)]
time-series	12	[(1.0, 6)]
attorney	31	[(0.7096774193548387, 9), (0.2903225806451613, 5)]
crowd	10	[(0.6, 8), (0.4, 2)]
postmaster	31	[(1.0, 0)]
bottom	106	[(0.7358490566037735, 8), (0.16037735849056603, 1), (0.10377358490566038, 7)]
stat.rice.edu	8	[(1.0, 7)]
geczy	16	[(1.0, 7)]
canaletto	8	[(1.0, 7)]
kilgore	10	[(1.0, 7)]
buveurs	5	[(1.0, 0)]
dennis.a.cornwell@usa.conoco.com	8	[(1.0, 4)]
mbd	17	[(1.0, 5)]
marshall	111	[(0.9459459459459459, 4), (0.05405405405405406, 8)]
mba	382	[(0.5732984293193717, 3), (0.3036649214659686, 7), (0.12303664921465969, 0)]
colloton	6	[(1.0, 1)]
verde	21	[(0.7142857142857143, 6), (0.2857142857142857, 5)]
inabilty	8	[(1.0, 9)]
delegation	8	[(1.0, 7)]
congratulations	221	[(0.8009049773755657, 4), (0.1493212669683258, 9), (0.049773755656108594, 2)]
complications	7	[(1.0, 7)]
siurek	11	[(1.0, 2)]
dues	37	[(1.0, 8)]
passenger	8	[(1.0, 8)]
funk/hou/ect@ect	6	[(1.0, 4)]
unobserved-components	10	[(1.0, 7)]
kindall@enron	25	[(1.0, 2)]
khairuddinbmjaafar@petronas.com.my	26	[(1.0, 3)]
kean/na/enron@enron	17	[(0.5294117647058824, 7), (0.47058823529411764, 4)]
khannas@pge-energy.com	8	[(1.0, 4)]
role	229	[(0.32751091703056767, 1), (0.24890829694323144, 8), (0.2445414847161572, 3), (0.09606986899563319, 6), (0.08296943231441048, 7)]
vjwindsor@hotmail.com	8	[(1.0, 3)]
roll	29	[(0.4827586206896552, 6), (0.27586206896551724, 8), (0.2413793103448276, 1)]
intend	46	[(0.391304347826087, 7), (0.32608695652173914, 6), (0.2826086956521739, 3)]
outage	28	[(0.7857142857142857, 5), (0.21428571428571427, 2)]
intent	32	[(0.46875, 9), (0.4375, 8), (0.09375, 2)]
variable	26	[(0.5, 6), (0.5, 5)]
loren	5	[(0.8, 9), (0.2, 4)]
mike's	13	[(0.6923076923076923, 2), (0.3076923076923077, 9)]
x-originalarrivaltime	13	[(0.7692307692307693, 0), (0.23076923076923078, 1)]
parsons/enron_development	12	[(1.0, 5)]
decision	385	[(0.2, 9), (0.1974025974025974, 6), (0.18701298701298702, 8), (0.17142857142857143, 3), (0.15844155844155844, 1), (0.07792207792207792, 5), (0.007792207792207792, 7)]
chaim	6	[(1.0, 9)]
chain	42	[(0.42857142857142855, 1), (0.40476190476190477, 5), (0.16666666666666666, 8)]
ford/hou/ect@ect	10	[(1.0, 4)]
chair	352	[(0.65625, 3), (0.34375, 7)]
vaudoise	6	[(1.0, 1)]
megawatts	45	[(0.5111111111111111, 5), (0.4888888888888889, 6)]
przenioslem	6	[(1.0, 0)]
downloading	14	[(0.7142857142857143, 1), (0.2857142857142857, 5)]
jere	52	[(0.7884615384615384, 9), (0.21153846153846154, 4)]
saldana	8	[(1.0, 4)]
choice	217	[(0.2672811059907834, 5), (0.2534562211981567, 6), (0.12903225806451613, 8), (0.12903225806451613, 0), (0.1152073732718894, 7), (0.10599078341013825, 1)]
stays	8	[(1.0, 1)]
exact	39	[(0.3333333333333333, 7), (0.3076923076923077, 5), (0.28205128205128205, 8), (0.07692307692307693, 2)]
minute	70	[(0.5714285714285714, 8), (0.24285714285714285, 7), (0.18571428571428572, 3)]
temat	20	[(1.0, 0)]
defaults	10	[(1.0, 6)]
scem	24	[(1.0, 0)]
shirts	7	[(1.0, 2)]
excerpts	5	[(1.0, 8)]
celebrated	6	[(1.0, 2)]
ground	49	[(0.5714285714285714, 8), (0.32653061224489793, 1), (0.10204081632653061, 5)]
boost	35	[(0.5714285714285714, 1), (0.42857142857142855, 5)]
vanderbilt	22	[(1.0, 3)]
mellacheruvu	47	[(1.0, 2)]
address	1028	[(0.2811284046692607, 5), (0.19066147859922178, 7), (0.19066147859922178, 1), (0.15369649805447472, 3), (0.06420233463035019, 8), (0.0622568093385214, 2), (0.027237354085603113, 9), (0.026264591439688716, 0), (0.0038910505836575876, 4)]
enroll	32	[(0.875, 1), (0.125, 5)]
lbcunningham@mail.utexas.edu	9	[(1.0, 7)]
cette	12	[(1.0, 0)]
accomplished	19	[(0.631578947368421, 6), (0.3157894736842105, 5), (0.05263157894736842, 3)]
http://go.msn.com/bql/hmtag_itl_en.asp	6	[(1.0, 3)]
narottam	9	[(1.0, 4)]
lewthwaite	6	[(1.0, 0)]
wheelock@rice.edu	12	[(1.0, 0)]
working	1085	[(0.4165898617511521, 3), (0.29493087557603687, 6), (0.10967741935483871, 7), (0.060829493087557605, 9), (0.047004608294930875, 1), (0.03686635944700461, 5), (0.034101382488479264, 8)]
optimize	13	[(0.5384615384615384, 5), (0.46153846153846156, 6)]
opposed	62	[(0.3548387096774194, 8), (0.2903225806451613, 1), (0.20967741935483872, 5), (0.14516129032258066, 6)]
gutierrez/hou/ect@ect	8	[(1.0, 4)]
roland	10	[(1.0, 5)]
approving	8	[(0.5, 5), (0.5, 2)]
terman	27	[(1.0, 7)]
bharati	108	[(1.0, 2)]
riders	6	[(1.0, 8)]
originally	78	[(0.38461538461538464, 6), (0.2692307692307692, 3), (0.15384615384615385, 8), (0.10256410256410256, 5), (0.08974358974358974, 1)]
x-lotus-fromdomain	30	[(1.0, 0)]
tysnes	6	[(1.0, 3)]
daffin/hou/ect@ect	20	[(1.0, 9)]
admired	5	[(1.0, 9)]
locke	9	[(0.6666666666666666, 1), (0.3333333333333333, 4)]
incremental	44	[(0.75, 5), (0.25, 6)]
smith@ees	8	[(1.0, 4)]
thanking	6	[(1.0, 3)]
ossa/na/enron@enron	8	[(1.0, 4)]
wooddy@rice.edu	10	[(1.0, 0)]
demianen@hydrant.ruf.rice.edu	8	[(1.0, 9)]
conscious	5	[(1.0, 8)]
wtorek	9	[(1.0, 0)]
pulled	16	[(0.5625, 8), (0.4375, 7)]
tilney	8	[(1.0, 4)]
years	825	[(0.30424242424242426, 1), (0.24363636363636362, 8), (0.2084848484848485, 3), (0.12848484848484848, 6), (0.11515151515151516, 5)]
professors	58	[(0.6206896551724138, 7), (0.3793103448275862, 3)]
structuring	102	[(0.6568627450980392, 9), (0.17647058823529413, 1), (0.11764705882352941, 3), (0.049019607843137254, 0)]
wolak@zia.stanford.edu	27	[(0.7407407407407407, 7), (0.25925925925925924, 0)]
ovals	8	[(1.0, 8)]
disconnect	10	[(1.0, 5)]
jia	8	[(1.0, 2)]
jim	608	[(0.3519736842105263, 4), (0.24177631578947367, 7), (0.22861842105263158, 3), (0.11677631578947369, 6), (0.054276315789473686, 9), (0.006578947368421052, 8)]
troubles	10	[(1.0, 5)]
troubled	8	[(0.75, 8), (0.25, 2)]
diprose	8	[(1.0, 6)]
purswell/enron@enronxgate	11	[(1.0, 9)]
recipients	11	[(0.6363636363636364, 5), (0.36363636363636365, 6)]
chakib	5	[(1.0, 5)]
drilling	31	[(0.8387096774193549, 5), (0.16129032258064516, 7)]
http://www.enterprisemanagement.com	12	[(1.0, 5)]
sorted	13	[(0.7692307692307693, 8), (0.23076923076923078, 6)]
probusiness	20	[(1.0, 9)]
instability	5	[(1.0, 6)]
quarter	163	[(0.5214723926380368, 5), (0.39263803680981596, 1), (0.08588957055214724, 3)]
retrieve	8	[(0.5, 7), (0.5, 5)]
exelon	19	[(1.0, 5)]
receipt	70	[(0.4857142857142857, 7), (0.32857142857142857, 1), (0.18571428571428572, 4)]
sponsor	74	[(0.47297297297297297, 3), (0.35135135135135137, 7), (0.17567567567567569, 5)]
entering	31	[(0.4838709677419355, 8), (0.3870967741935484, 9), (0.12903225806451613, 3)]
grant.masson	8	[(1.0, 0)]
internet	751	[(0.3914780292942743, 5), (0.1611185086551265, 8), (0.15446071904127828, 7), (0.12516644474034622, 0), (0.10918774966711052, 4), (0.05858854860186418, 1)]
incentives	8	[(0.875, 5), (0.125, 3)]
complicated	38	[(0.6578947368421053, 8), (0.34210526315789475, 3)]
paul-roberts@reliantenergy.com	8	[(1.0, 4)]
hamel	23	[(1.0, 4)]
modest	20	[(0.7, 5), (0.3, 8)]
initiate	27	[(0.4444444444444444, 5), (0.3333333333333333, 7), (0.2222222222222222, 9)]
aboard	12	[(0.75, 3), (0.16666666666666666, 8), (0.08333333333333333, 1)]
neglect	9	[(0.5555555555555556, 3), (0.4444444444444444, 1)]
oni	5	[(1.0, 0)]
saving	9	[(0.6666666666666666, 8), (0.3333333333333333, 5)]
spoken	59	[(0.3898305084745763, 7), (0.3050847457627119, 9), (0.2711864406779661, 6), (0.03389830508474576, 3)]
powerworld	8	[(1.0, 5)]
cera.com/client/forgot	5	[(1.0, 5)]
tamara	19	[(0.6842105263157895, 9), (0.3157894736842105, 1)]
ont	16	[(1.0, 0)]
shawn	114	[(0.7456140350877193, 2), (0.2543859649122807, 4)]
specialists	39	[(1.0, 1)]
disrespects	8	[(1.0, 8)]
proactive	21	[(0.6666666666666666, 6), (0.3333333333333333, 5)]
illness	5	[(1.0, 8)]
turned	92	[(0.6521739130434783, 8), (0.22826086956521738, 3), (0.11956521739130435, 7)]
locations	72	[(0.3472222222222222, 6), (0.3472222222222222, 5), (0.18055555555555555, 9), (0.125, 1)]
uninterrupted	8	[(1.0, 1)]
turner	12	[(1.0, 4)]
invite	468	[(0.6303418803418803, 7), (0.25427350427350426, 3), (0.08547008547008547, 4), (0.029914529914529916, 8)]
smtp:vince.j.kaminski@enron.com	26	[(0.5384615384615384, 4), (0.46153846153846156, 7)]
black-scholes	49	[(1.0, 6)]
intends	14	[(0.5, 5), (0.5, 2)]
gibner	252	[(0.6150793650793651, 2), (0.24603174603174602, 6), (0.1388888888888889, 3)]
stephan/lon/ect@ect	5	[(1.0, 6)]
printer	13	[(0.6923076923076923, 2), (0.15384615384615385, 8), (0.15384615384615385, 7)]
opposite	14	[(0.6428571428571429, 6), (0.35714285714285715, 8)]
buffer	30	[(1.0, 5)]
buffet	5	[(1.0, 7)]
printed	49	[(0.5306122448979592, 8), (0.46938775510204084, 1)]
epri	23	[(1.0, 1)]
eprm	287	[(0.5644599303135889, 6), (0.24738675958188153, 7), (0.18815331010452963, 1)]
phil	107	[(0.5046728971962616, 5), (0.4953271028037383, 4)]
presense	6	[(1.0, 7)]
vince....celeste	8	[(1.0, 0)]
qos	9	[(0.5555555555555556, 5), (0.4444444444444444, 4)]
dyplomowa	34	[(1.0, 0)]
aggressive	46	[(0.7608695652173914, 1), (0.13043478260869565, 8), (0.10869565217391304, 0)]
transact	8	[(1.0, 4)]
smith/corp/enron@enron	188	[(1.0, 2)]
mtiwmhc	8	[(1.0, 8)]
platts	51	[(1.0, 5)]
simplistic	8	[(1.0, 6)]
monde	16	[(1.0, 0)]
awaiting	25	[(0.72, 6), (0.28, 5)]
polaczenia	11	[(1.0, 0)]
keenly	5	[(1.0, 3)]
collonges	13	[(1.0, 2)]
basle	58	[(1.0, 1)]
vision	33	[(0.45454545454545453, 1), (0.21212121212121213, 5), (0.21212121212121213, 0), (0.12121212121212122, 8)]
interruptible	13	[(1.0, 5)]
impressions	6	[(0.8333333333333334, 9), (0.16666666666666666, 6)]
alex's	14	[(1.0, 2)]
steffes/na/enron@enron	20	[(0.65, 9), (0.35, 8)]
dexter	6	[(1.0, 1)]
harvey	27	[(0.6296296296296297, 1), (0.37037037037037035, 4)]
sponsorship	25	[(0.8, 7), (0.2, 6)]
enjoys	6	[(0.6666666666666666, 0), (0.3333333333333333, 8)]
ganguzza@rice.edu	12	[(1.0, 0)]
awards	60	[(0.8, 1), (0.2, 8)]
millionaire	6	[(1.0, 8)]
workplace	25	[(0.8, 8), (0.2, 5)]
can't	112	[(0.6607142857142857, 8), (0.16964285714285715, 6), (0.16964285714285715, 4)]
drogi	13	[(1.0, 0)]
droga	16	[(1.0, 0)]
f.y.i	7	[(1.0, 2)]
curr	19	[(1.0, 5)]
west	262	[(0.583969465648855, 5), (0.16793893129770993, 2), (0.1297709923664122, 7), (0.07251908396946564, 9), (0.04580152671755725, 0)]
breckenridge	49	[(0.5102040816326531, 4), (0.4897959183673469, 2)]
formed	67	[(0.5671641791044776, 1), (0.2835820895522388, 9), (0.14925373134328357, 5)]
readings	5	[(1.0, 1)]
photos	18	[(1.0, 3)]
javier	9	[(1.0, 4)]
extant	6	[(1.0, 1)]
http://www.nwwsubscribe.com/nl	29	[(1.0, 5)]
cure	7	[(1.0, 8)]
newspaper	24	[(0.625, 8), (0.375, 5)]
situation	165	[(0.44242424242424244, 8), (0.22424242424242424, 2), (0.15757575757575756, 5), (0.11515151515151516, 3), (0.04242424242424243, 6), (0.01818181818181818, 7)]
engaged	13	[(1.0, 8)]
www.robertwalters.com	14	[(1.0, 4)]
sriram	35	[(0.8285714285714286, 2), (0.17142857142857143, 9)]
technology	661	[(0.3313161875945537, 5), (0.2632375189107413, 1), (0.2118003025718608, 3), (0.16036308623298035, 7), (0.02723146747352496, 9), (0.006051437216338881, 8)]
ostdiek@rice.edu	65	[(0.8153846153846154, 7), (0.18461538461538463, 4)]
verified	9	[(1.0, 8)]
otto	6	[(0.6666666666666666, 1), (0.3333333333333333, 4)]
vis-a-vis	9	[(0.5555555555555556, 8), (0.4444444444444444, 6)]
singapore	97	[(0.6185567010309279, 1), (0.38144329896907214, 6)]
reluctantly	6	[(1.0, 5)]
openldap	6	[(1.0, 5)]
advertisement	33	[(1.0, 8)]
http://www.newyorkfed.org/rmaghome/dirchrts	7	[(1.0, 1)]
tracking	35	[(0.42857142857142855, 4), (0.4, 6), (0.17142857142857143, 8)]
sirri@babson.edu	13	[(1.0, 9)]
wscc(rk	19	[(1.0, 0)]
dimension	16	[(0.6875, 6), (0.3125, 8)]
neftokhim	6	[(1.0, 5)]
recycled	6	[(1.0, 9)]
itanium	7	[(1.0, 5)]
dabhol	156	[(1.0, 8)]
generator	60	[(0.5333333333333333, 6), (0.36666666666666664, 5), (0.1, 8)]
roved	5	[(1.0, 1)]
carroll/hou/ect@ect	6	[(1.0, 4)]
kindall	44	[(0.6363636363636364, 2), (0.36363636363636365, 3)]
preference	56	[(0.3392857142857143, 2), (0.2857142857142857, 9), (0.21428571428571427, 6), (0.10714285714285714, 5), (0.05357142857142857, 3)]
world	1006	[(0.7852882703777336, 5), (0.11530815109343936, 8), (0.06858846918489066, 1), (0.030815109343936383, 9)]
sume	6	[(1.0, 0)]
postal	71	[(0.9859154929577465, 1), (0.014084507042253521, 3)]
energ	11	[(1.0, 5)]
infr	6	[(1.0, 8)]
superiority	6	[(1.0, 8)]
satisfactory	22	[(0.4090909090909091, 6), (0.3181818181818182, 9), (0.2727272727272727, 2)]
learning	136	[(0.33088235294117646, 7), (0.27205882352941174, 3), (0.27205882352941174, 1), (0.125, 8)]
dilbert	260	[(1.0, 8)]
divine	6	[(0.8333333333333334, 2), (0.16666666666666666, 8)]
tva	59	[(0.8305084745762712, 1), (0.1694915254237288, 8)]
hickerson	52	[(1.0, 9)]
diebold	149	[(1.0, 7)]
walter.coffer@enron.com	8	[(1.0, 0)]
disinformation	8	[(1.0, 8)]
retains	7	[(1.0, 8)]
leadership	122	[(0.6721311475409836, 9), (0.13114754098360656, 8), (0.09016393442622951, 1), (0.07377049180327869, 4), (0.02459016393442623, 0), (0.00819672131147541, 3)]
thailand	9	[(1.0, 6)]
prepared	93	[(0.43010752688172044, 9), (0.34408602150537637, 7), (0.15053763440860216, 8), (0.07526881720430108, 1)]
hopkins	17	[(0.5882352941176471, 9), (0.4117647058823529, 3)]
johnston	26	[(0.6153846153846154, 8), (0.38461538461538464, 9)]
bjp	20	[(1.0, 8)]
john.sherriff@enron.com	5	[(1.0, 2)]
conceptually	20	[(0.55, 9), (0.45, 5)]
sealed	16	[(0.6875, 3), (0.3125, 8)]
brazilian	19	[(0.3684210526315789, 5), (0.3157894736842105, 6), (0.3157894736842105, 2)]
presly	10	[(1.0, 3)]
bubble	12	[(1.0, 8)]
lederington@ou.edu	17	[(1.0, 9)]
